gene	rho	p_val
TP53	0.4166283013945364	1.6238859440527351e-158
MYC	-0.26235593745914526	1.7165244296841262e-60
ESR1	-0.24306762907553278	6.382683586727458e-52
GATA3	-0.21040603623920845	4.678120189170977e-39
ERBB2	-0.2095348405717841	9.67348694333383e-39
CCND1	0.20474959285164757	4.93673470291355e-37
FGF19	0.20398310780868406	9.184455881861934e-37
FGF3	-0.2004605839412517	1.5422723502832016e-35
FGF4	0.20000501894516928	2.2127535474232314e-35
RB1	0.18241057771580796	1.2871017372522298e-29
NF1	-0.1823105086312661	1.382912367795386e-29
RAD21	0.17582085840608747	1.332279826469185e-27
RECQL4	0.17458101692055086	3.1262361923136927e-27
MCL1	0.1745199697366326	3.259792362220815e-27
ELOC	-0.17361496029433943	6.0499089838755306e-27
PTEN	0.17254741365274115	1.2492928584587859e-26
CDK12	0.171588888264555	2.386115135105653e-26
BRCA1	-0.16626703969828563	8.097089017917661e-25
NF2	-0.15871538016847367	9.873383063445975e-23
AGO2	0.15664762746212527	3.533590808136362e-22
NCOR1	0.1507000309861909	1.257121624758991e-20
JAK2	-0.150329212836151	1.5633232869548222e-20
RIT1	-0.1501011422336046	1.7871359538380398e-20
SOX17	-0.1482382972750305	5.2893353625994595e-20
NBN	-0.14506979114383067	3.244357776363991e-19
ATM	-0.14446609552754253	4.562951080735377e-19
RARA	-0.13970261720086197	6.396319683024451e-18
KMT2D	-0.1340185522296192	1.3280816902586034e-16
CBL	-0.13324261670530785	1.9895790620104932e-16
CD274	0.13319256362676793	2.0419692221794533e-16
ARID2	0.13289912670528697	2.377602182144486e-16
CDKN2A	-0.13083997285122745	6.851508196153743e-16
LYN	0.1305438208405459	7.967083669629598e-16
CCNE1	-0.13019300222890107	9.521655121491735e-16
ERCC4	-0.12813294921319995	2.6857689657308288e-15
BLM	0.12295476504583237	3.382964962454378e-14
FAT1	0.1220826822218987	5.130130772840666e-14
CREBBP	-0.12199583274743857	5.3464660271697504e-14
SMAD4	-0.12165069509835627	6.298362309186919e-14
PREX2	-0.1191154875097423	2.0691045796346158e-13
EP300	0.1180442012759223	3.394738350627777e-13
PDCD1LG2	0.1174088118479549	4.5438817204500616e-13
ARID1B	0.1160633844422227	8.381189617701164e-13
PTPRD	0.11268609790292884	3.77866024371472e-12
PARP1	0.11266764401547613	3.809421989050875e-12
ATR	0.10984784185980999	1.2948704460827574e-11
CDK4	-0.10835701492259421	2.442291772722173e-11
MDM4	0.10833816166959627	2.4618339260808376e-11
TP63	0.10527751713488225	8.816798128148914e-11
CDKN1B	-0.10526426175951151	8.864955974026299e-11
ROS1	0.10463894032723953	1.1453710179813454e-10
NOTCH2	-0.10442601716556114	1.2493542357967885e-10
CARD11	0.10372924967749118	1.658280106013254e-10
BARD1	0.10271920350174964	2.491676578716318e-10
PIK3R2	-0.10187266730725926	3.4945987116879524e-10
APC	-0.10111150145088686	4.725800932733321e-10
CDKN2B	0.10092468648070171	5.08744611037922e-10
ERBB4	0.1006799917893202	5.6022032085471e-10
SETD2	-0.10036202064011526	6.347536048904445e-10
NTRK3	0.09897447128991936	1.0898546439729809e-09
IFNGR1	-0.09817830680257635	1.4812871387966452e-09
SDHD	-0.09791072008916422	1.6413308770825348e-09
YES1	-0.09719296460089631	2.158388403504788e-09
DOT1L	0.0971402615468479	2.2020600065357026e-09
CDC73	0.09688158678520437	2.4291904788275393e-09
KDM5A	0.0957980082757252	3.6546863057927934e-09
EPHA3	-0.09558408369470206	3.959520270530622e-09
FLT3	0.09493034865589164	5.0524156884135005e-09
SDHC	-0.09471341872961955	5.47608785860648e-09
MAPK3	0.09446884722159923	5.995220167791222e-09
NUF2	-0.09435086154016224	6.262471848139974e-09
PAK1	-0.09364755887003402	8.112883262420244e-09
BRAF	0.09330282010347907	9.204250571033137e-09
GATA1	0.09296893933253197	1.0396553457197341e-08
STAT3	-0.09249594501255345	1.2345792582252703e-08
RAD52	-0.09171346364818	1.637475551082434e-08
PRDM1	-0.09086434326470755	2.2189225445706315e-08
PRDM14	-0.09039877875621673	2.6181695848566637e-08
PDCD1	0.08970839510402603	3.341178812511812e-08
NKX3-1	0.08881070277426825	4.5754863135722645e-08
PGR	0.08815786461763483	5.7399297085027075e-08
MDC1	-0.08763082869431019	6.884835610649552e-08
NOTCH4	-0.08740444496030922	7.441880730253167e-08
PIK3R1	-0.08712687857776129	8.184594288088436e-08
MDM2	0.08702906900517163	8.463027188962126e-08
DNMT3B	-0.08680408016255944	9.138739401514888e-08
CBFB	-0.08655771617829512	9.938519776614933e-08
SOX2	0.08602172324315391	1.1919271365114556e-07
AR	0.08584106130600473	1.2669160379089316e-07
CCND3	-0.08530534616361546	1.5170863362069853e-07
NSD1	-0.0845360690699955	1.9614515451704134e-07
MTOR	0.084500734139678	1.9846277599572558e-07
PIK3CB	0.0842060756568571	2.188473929943743e-07
MAPK1	-0.08404131875170374	2.311120088323417e-07
KMT2B	-0.08394992910253819	2.3819864515151557e-07
FOXL2	0.08387621530949044	2.4406709914528886e-07
FANCA	0.08304037424309804	3.2117744166136523e-07
ARAF	0.08294163376565361	3.317079401274766e-07
PIK3C2G	-0.08272632067150222	3.5583855776896186e-07
CHEK1	-0.08245282924298593	3.8893963515791504e-07
CTNNB1	-0.0819165197540504	4.626804070360757e-07
BCL2L1	0.08160448101913316	5.116061153638728e-07
SOCS1	-0.08134014119610863	5.569213297883609e-07
IRS1	0.08095628904972531	6.296725545147841e-07
ERCC5	-0.079936178455375	8.702820143463808e-07
EIF1AX	0.07987582739947567	8.869969728885285e-07
PTPRT	-0.07951486654571827	9.936083673245801e-07
NCOA3	-0.07951351891281187	9.940285989527576e-07
