parent	child1	child2	logic	consistency	n_samples
NEST:50	NEST:130	NEST:91	AND	0.9447	3777
NEST:15	NEST:79	NEST:117	A_NOT_B	0.8835	3777
NEST:6	NEST:10	NEST:90	AND	0.8721	3777
NEST:3	NEST:15	NEST:45	NAND	0.8361	3777
NEST:6	NEST:10	NEST:78	A_OR_NOT_B	0.8351	3777
NEST:6	NEST:85	NEST:90	B_NOT_A	0.8194	3777
NEST:6	NEST:78	NEST:85	NAND	0.8115	3777
NEST:1	NEST:38	NEST:153	A_OR_NOT_B	0.7874	3777
NEST:1	NEST:38	NEST:169	A_OR_NOT_B	0.7853	3777
NEST:1	NEST:38	NEST:221	A_OR_NOT_B	0.7832	3777
NEST:2	NEST:5	NEST:8	NAND	0.7821	3777
NEST:6	NEST:123	NEST:85	A_NOT_B	0.7734	3777
NEST:1	NEST:70	NEST:256	AND	0.7667	3777
NEST:4	NEST:17	NEST:107	B_NOT_A	0.7660	3777
NEST:4	NEST:17	NEST:186	B_OR_NOT_A	0.7654	3777
NEST:4	NEST:17	NEST:44	NAND	0.7652	3777
NEST:4	NEST:126	NEST:186	B_OR_NOT_A	0.7641	3777
NEST:4	NEST:107	NEST:126	A_NOT_B	0.7622	3777
NEST:4	NEST:44	NEST:186	B_OR_NOT_A	0.7596	3777
NEST:4	NEST:107	NEST:186	AND	0.7567	3777
NEST:1	NEST:70	NEST:153	A_OR_NOT_B	0.7562	3777
NEST:1	NEST:83	NEST:256	B_NOT_A	0.7535	3777
NEST:1	NEST:83	NEST:153	NAND	0.7522	3777
NEST:1	NEST:127	NEST:256	B_NOT_A	0.7498	3777
NEST:1	NEST:70	NEST:108	AND	0.7495	3777
NEST:1	NEST:132	NEST:256	B_NOT_A	0.7495	3777
NEST:1	NEST:127	NEST:153	NAND	0.7477	3777
NEST:1	NEST:132	NEST:153	NAND	0.7429	3777
NEST:1	NEST:70	NEST:169	A_OR_NOT_B	0.7421	3777
NEST:1	NEST:83	NEST:108	B_NOT_A	0.7411	3777
NEST:1	NEST:70	NEST:127	A_OR_NOT_B	0.7408	3777
NEST:1	NEST:60	NEST:70	AND	0.7395	3777
NEST:1	NEST:70	NEST:132	A_OR_NOT_B	0.7384	3777
NEST:1	NEST:70	NEST:83	A_OR_NOT_B	0.7376	3777
NEST:1	NEST:108	NEST:127	A_NOT_B	0.7371	3777
NEST:1	NEST:52	NEST:83	NAND	0.7363	3777
NEST:1	NEST:52	NEST:127	NAND	0.7355	3777
NEST:1	NEST:108	NEST:132	A_NOT_B	0.7352	3777
NEST:1	NEST:32	NEST:108	AND	0.7352	3777
NEST:1	NEST:83	NEST:169	NAND	0.7339	3777
NEST:1	NEST:127	NEST:169	NAND	0.7310	3777
NEST:1	NEST:132	NEST:169	NAND	0.7299	3777
NEST:1	NEST:52	NEST:132	NAND	0.7278	3777
NEST:1	NEST:60	NEST:83	A_NOT_B	0.7273	3777
NEST:1	NEST:32	NEST:52	A_OR_NOT_B	0.7262	3777
NEST:1	NEST:32	NEST:83	A_NOT_B	0.7257	3777
NEST:1	NEST:60	NEST:132	A_NOT_B	0.7246	3777
NEST:1	NEST:47	NEST:127	A_NOT_B	0.7246	3777
NEST:1	NEST:127	NEST:132	NAND	0.7246	3777
NEST:1	NEST:60	NEST:127	A_NOT_B	0.7241	3777
NEST:1	NEST:47	NEST:132	A_NOT_B	0.7233	3777
NEST:1	NEST:32	NEST:132	A_NOT_B	0.7228	3777
NEST:1	NEST:132	NEST:221	NAND	0.7204	3777
