term	gene	pc1_corr	pc1_corr_pval	rank
NEST	FGF3	0.2124	0.0000	1
NEST	FGF4	-0.2109	0.0000	2
NEST	SDHD	0.0951	0.0000	3
NEST	PRDM14	0.0931	0.0000	4
NEST	SDHC	0.0920	0.0000	5
NEST	FAT1	-0.0882	0.0000	6
NEST	ROS1	-0.0860	0.0000	7
NEST	CBFB	0.0795	0.0000	8
NEST	YES1	0.0738	0.0000	9
NEST	PIK3C2G	0.0673	0.0000	10
NEST	ETV6	0.0656	0.0001	11
NEST	SESN1	-0.0652	0.0001	12
NEST	NTHL1	-0.0648	0.0001	13
NEST	NOTCH3	-0.0632	0.0001	14
NEST	INPP4A	-0.0627	0.0001	15
NEST	DUSP4	-0.0623	0.0001	16
NEST	MITF	-0.0617	0.0001	17
NEST	PPM1D	-0.0603	0.0002	18
NEST	GLI1	0.0595	0.0003	19
NEST	MAP3K13	0.0576	0.0004	20
NEST	SPOP	0.0558	0.0006	21
NEST	CRLF2	-0.0551	0.0007	22
NEST	NTRK1	-0.0513	0.0016	23
NEST	DDR2	-0.0502	0.0020	24
NEST	ZFHX3	-0.0501	0.0021	25
NEST	PTPRT	0.0493	0.0025	26
NEST	MST1R	0.0461	0.0046	27
NEST	ELF3	-0.0460	0.0046	28
NEST	INPP4B	0.0418	0.0101	29
NEST	VTCN1	-0.0394	0.0155	30
NEST	RTEL1	0.0389	0.0168	31
NEST	FLCN	-0.0377	0.0205	32
NEST	PTCH1	0.0368	0.0239	33
NEST	ETV1	0.0364	0.0254	34
NEST	PRKD1	-0.0343	0.0350	35
NEST	PAX5	0.0320	0.0489	36
NEST	NTRK2	-0.0312	0.0552	37
NEST	RNF43	0.0311	0.0561	38
NEST	HOXB13	0.0308	0.0585	39
NEST	TSHR	-0.0293	0.0718	40
NEST	SMYD3	0.0274	0.0923	41
NEST	RPS6KA4	-0.0265	0.1031	42
NEST	IDH2	-0.0245	0.1318	43
NEST	SMO	0.0244	0.1342	44
NEST	MALT1	0.0213	0.1896	45
NEST	LATS2	-0.0181	0.2655	46
NEST	GATA2	-0.0158	0.3305	47
NEST	SDHAF2	0.0153	0.3483	48
NEST	SOX9	-0.0149	0.3602	49
NEST	STK40	0.0147	0.3676	50
NEST	MEF2B	0.0146	0.3712	51
NEST	RPS6KB2	-0.0146	0.3681	52
NEST	TMPRSS2	0.0142	0.3813	53
NEST	PIM1	-0.0142	0.3820	54
NEST	SESN3	-0.0085	0.6009	55
NEST	TET1	-0.0084	0.6059	56
NEST	PTP4A1	0.0046	0.7768	57
NEST:1	EP300	-0.0872	0.0000	1
NEST:1	NOTCH2	0.0859	0.0000	2
NEST:1	MAP3K1	-0.0769	0.0000	3
NEST:1	PRKCI	0.0625	0.0001	4
NEST:1	NOTCH1	-0.0518	0.0014	5
NEST:1	PRKAR1A	0.0466	0.0042	6
NEST:1	FGFR3	-0.0404	0.0130	7
NEST:1	KDM5C	-0.0377	0.0206	8
NEST:1	FH	-0.0271	0.0955	9
NEST:1	EPCAM	-0.0268	0.0997	10
NEST:1	RHOA	-0.0242	0.1370	11
NEST:1	KEAP1	0.0156	0.3375	12
NEST:1	NFE2L2	-0.0131	0.4222	13
NEST:1	ALOX12B	-0.0119	0.4642	14
NEST:1	TCF3	-0.0108	0.5052	15
NEST:1	SDHA	-0.0081	0.6194	16
NEST:1	SDHB	-0.0063	0.6987	17
NEST:1	KLF4	-0.0040	0.8067	18
NEST:1	YAP1	0.0022	0.8910	19
NEST:10	RAD21	0.1700	0.0000	1
NEST:10	CDK12	0.1373	0.0000	2
NEST:10	MDM2	0.1274	0.0000	3
NEST:10	MSI2	-0.0532	0.0011	4
NEST:10	ATRX	0.0501	0.0021	5
NEST:10	STAG2	0.0495	0.0023	6
NEST:10	XPO1	-0.0265	0.1040	7
NEST:10	PTPN11	0.0195	0.2318	8
NEST:10	TOP1	0.0161	0.3240	9
NEST:10	CTCF	-0.0028	0.8644	10
NEST:104	MYC	0.6915	0.0000	1
NEST:104	STAT3	0.2722	0.0000	2
NEST:104	MAP2K2	0.1929	0.0000	3
NEST:104	STAT5A	0.1620	0.0000	4
NEST:104	SHOC2	-0.0322	0.0479	5
NEST:105	MDM2	-0.6210	0.0000	1
NEST:105	ELOC	0.5597	0.0000	2
NEST:105	STK11	-0.3579	0.0000	3
NEST:105	FBXW7	-0.2858	0.0000	4
NEST:105	VHL	0.2352	0.0000	5
NEST:105	CUL3	0.1796	0.0000	6
NEST:107	NCOR1	-0.5886	0.0000	1
NEST:107	CREBBP	0.4056	0.0000	2
NEST:107	ANKRD11	-0.3646	0.0000	3
NEST:107	AR	-0.3257	0.0000	4
NEST:107	NCOA3	0.3202	0.0000	5
NEST:107	GPS2	-0.2567	0.0000	6
NEST:107	BCL6	0.2504	0.0000	7
NEST:108	SOX2	-0.0968	0.0000	1
NEST:110	RB1	0.2580	0.0000	1
NEST:112	RB1	0.6192	0.0000	1
NEST:112	CREBBP	-0.4812	0.0000	2
NEST:112	AR	0.3697	0.0000	3
NEST:112	EP300	0.3339	0.0000	4
NEST:112	CTNNB1	-0.2157	0.0000	5
