term	rlipp	gene	pc1_corr	pc1_corr_pval	rank
NEST:231	2.1428	MLH1	0.4789	0.0000	1
NEST:231	2.1428	MSH6	0.4760	0.0000	2
NEST:231	2.1428	MSH3	-0.4427	0.0000	3
NEST:231	2.1428	MSH2	-0.4234	0.0000	4
NEST:231	2.1428	PMS2	0.2795	0.0000	5
NEST:60	1.7590	NCOR1	-0.5260	0.0000	1
NEST:60	1.7590	ANKRD11	-0.3767	0.0000	2
NEST:60	1.7590	CREBBP	0.3760	0.0000	3
NEST:60	1.7590	RARA	0.3630	0.0000	4
NEST:60	1.7590	NCOA3	0.2780	0.0000	5
NEST:212	1.5885	KRAS	0.4443	0.0000	1
NEST:212	1.5885	BRAF	-0.3976	0.0000	2
NEST:212	1.5885	ARAF	-0.3936	0.0000	3
NEST:212	1.5885	MAPK3	-0.3254	0.0000	4
NEST:212	1.5885	MAPK1	0.3249	0.0000	5
NEST:89	1.5282	ERBB2	0.5720	0.0000	1
NEST:89	1.5282	ERBB3	-0.3072	0.0000	2
NEST:89	1.5282	STAT3	0.2264	0.0000	3
NEST:89	1.5282	ERBB4	-0.2263	0.0000	4
NEST:89	1.5282	PIK3R1	0.2161	0.0000	5
NEST:174	1.4970	AKT1	0.6578	0.0000	1
NEST:174	1.4970	AXIN2	-0.5031	0.0000	2
NEST:174	1.4970	APC	0.3744	0.0000	3
NEST:174	1.4970	CTNNB1	0.2489	0.0000	4
NEST:174	1.4970	AXIN1	0.2331	0.0000	5
NEST:39	1.4646	SPEN	0.6653	0.0000	1
NEST:39	1.4646	SRSF2	0.4596	0.0000	2
NEST:39	1.4646	CASP8	-0.3390	0.0000	3
NEST:39	1.4646	U2AF1	0.3243	0.0000	4
NEST:39	1.4646	RBM10	0.2681	0.0000	5
NEST:14	1.4527	ESR1	-0.5321	0.0000	1
NEST:14	1.4527	CDH1	-0.3625	0.0000	2
NEST:14	1.4527	PIK3CA	0.3056	0.0000	3
NEST:14	1.4527	PAK1	-0.2932	0.0000	4
NEST:14	1.4527	PIK3R1	-0.2166	0.0000	5
NEST:137	1.3666	AKT1	0.6380	0.0000	1
NEST:137	1.3666	RPTOR	0.4173	0.0000	2
NEST:137	1.3666	MTOR	-0.3434	0.0000	3
NEST:137	1.3666	RICTOR	0.3168	0.0000	4
NEST:137	1.3666	MAPK3	-0.2610	0.0000	5
NEST:153	1.3542	ERBB2	-0.7109	0.0000	1
NEST:153	1.3542	PIK3R1	-0.3002	0.0000	2
NEST:153	1.3542	PIK3R2	-0.2754	0.0000	3
NEST:153	1.3542	EGFR	0.2586	0.0000	4
NEST:153	1.3542	CBL	-0.2331	0.0000	5
NEST:168	1.3322	AKT1	-0.4372	0.0000	1
NEST:168	1.3322	CREBBP	-0.4307	0.0000	2
NEST:168	1.3322	CDKN1B	-0.3760	0.0000	3
NEST:168	1.3322	RARA	-0.3617	0.0000	4
NEST:168	1.3322	AR	0.3153	0.0000	5
NEST:29	1.2372	SOX17	-0.5741	0.0000	1
NEST:29	1.2372	EPAS1	0.2176	0.0000	2
NEST:29	1.2372	EGFL7	-0.1766	0.0000	3
NEST:26	1.2114	CREBBP	-0.4779	0.0000	1
NEST:26	1.2114	SRSF2	0.3166	0.0000	2
NEST:26	1.2114	UPF1	-0.2333	0.0000	3
NEST:26	1.2114	U2AF1	0.2276	0.0000	4
NEST:26	1.2114	CASP8	-0.1945	0.0000	5
NEST:256	1.1752	ERBB2	0.8372	0.0000	1
NEST:256	1.1752	FGFR2	-0.2825	0.0000	2
NEST:256	1.1752	ERBB4	-0.2773	0.0000	3
NEST:256	1.1752	KRAS	0.2596	0.0000	4
NEST:256	1.1752	FGFR4	0.1802	0.0000	5
NEST:52	1.1658	CCND1	0.4824	0.0000	1
NEST:52	1.1658	PTEN	0.4447	0.0000	2
NEST:52	1.1658	PIK3CA	0.3953	0.0000	3
NEST:52	1.1658	SMAD4	-0.2428	0.0000	4
NEST:52	1.1658	IGF1R	0.1904	0.0000	5
NEST:61	1.1528	ELOC	-0.5569	0.0000	1
NEST:61	1.1528	MDM2	0.5377	0.0000	2
NEST:61	1.1528	STK11	0.3347	0.0000	3
NEST:61	1.1528	TET2	-0.2880	0.0000	4
NEST:61	1.1528	NF2	-0.2877	0.0000	5
NEST:70	1.1382	TP53	-0.8277	0.0000	1
NEST:70	1.1382	BRCA1	0.2745	0.0000	2
NEST:70	1.1382	BARD1	-0.1889	0.0000	3
NEST:70	1.1382	CBL	0.1829	0.0000	4
NEST:70	1.1382	MDM2	-0.1602	0.0000	5
NEST:1	1.1102	EP300	-0.0872	0.0000	1
NEST:1	1.1102	NOTCH2	0.0859	0.0000	2
NEST:1	1.1102	MAP3K1	-0.0769	0.0000	3
NEST:1	1.1102	PRKCI	0.0625	0.0001	4
NEST:1	1.1102	NOTCH1	-0.0518	0.0014	5
NEST:142	1.1087	CDH1	0.8074	0.0000	1
NEST:142	1.1087	EGFR	-0.2834	0.0000	2
NEST:142	1.1087	FYN	-0.2534	0.0000	3
NEST:142	1.1087	CBL	0.2450	0.0000	4
NEST:142	1.1087	APC	0.2390	0.0000	5
