term	p_rho	p_pval	c_rho	c_pval	rlipp
NEST:64	0.0725	0.0000	0.0082	0.6123	8.7928
NEST:231	0.0861	0.0000	0.0402	0.0136	2.1428
NEST:66	0.0510	0.0017	0.0270	0.0968	1.8878
NEST:60	0.2400	0.0000	0.1364	0.0000	1.7590
NEST:212	0.1751	0.0000	0.1102	0.0000	1.5885
NEST:89	0.3340	0.0000	0.2186	0.0000	1.5282
NEST:174	0.1184	0.0000	0.0791	0.0000	1.4970
NEST:39	0.0899	0.0000	0.0614	0.0002	1.4646
NEST:14	0.2903	0.0000	0.1999	0.0000	1.4527
NEST:137	0.1192	0.0000	0.0872	0.0000	1.3666
NEST:153	0.2994	0.0000	0.2211	0.0000	1.3542
NEST:168	0.2668	0.0000	0.2003	0.0000	1.3322
NEST:29	0.1420	0.0000	0.1148	0.0000	1.2372
NEST:26	0.2007	0.0000	0.1657	0.0000	1.2114
NEST:256	0.2151	0.0000	0.1830	0.0000	1.1752
NEST:52	0.3394	0.0000	0.2911	0.0000	1.1658
NEST:61	0.2492	0.0000	0.2161	0.0000	1.1528
NEST:70	0.4985	0.0000	0.4380	0.0000	1.1382
NEST:1	0.8519	0.0000	0.7673	0.0000	1.1102
NEST:142	0.1675	0.0000	0.1511	0.0000	1.1087
